scene_id,source_dataset,split,sar_path,rgb_path,patch_x,patch_y,patch_size
1,sih1733,train,data/processed/patches/sar/1_r0000_c0000_orig.png,data/processed/patches/rgb/1_r0000_c0000_orig.png,0,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0000_fliph.png,data/processed/patches/rgb/1_r0000_c0000_fliph.png,0,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0000_flipv.png,data/processed/patches/rgb/1_r0000_c0000_flipv.png,0,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0000_rot90.png,data/processed/patches/rgb/1_r0000_c0000_rot90.png,0,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0000_rot180.png,data/processed/patches/rgb/1_r0000_c0000_rot180.png,0,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0000_rot270.png,data/processed/patches/rgb/1_r0000_c0000_rot270.png,0,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0128_orig.png,data/processed/patches/rgb/1_r0000_c0128_orig.png,128,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0128_fliph.png,data/processed/patches/rgb/1_r0000_c0128_fliph.png,128,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0128_flipv.png,data/processed/patches/rgb/1_r0000_c0128_flipv.png,128,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0128_rot90.png,data/processed/patches/rgb/1_r0000_c0128_rot90.png,128,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0128_rot180.png,data/processed/patches/rgb/1_r0000_c0128_rot180.png,128,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0128_rot270.png,data/processed/patches/rgb/1_r0000_c0128_rot270.png,128,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0256_orig.png,data/processed/patches/rgb/1_r0000_c0256_orig.png,256,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0256_fliph.png,data/processed/patches/rgb/1_r0000_c0256_fliph.png,256,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0256_flipv.png,data/processed/patches/rgb/1_r0000_c0256_flipv.png,256,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0256_rot90.png,data/processed/patches/rgb/1_r0000_c0256_rot90.png,256,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0256_rot180.png,data/processed/patches/rgb/1_r0000_c0256_rot180.png,256,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0256_rot270.png,data/processed/patches/rgb/1_r0000_c0256_rot270.png,256,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0384_orig.png,data/processed/patches/rgb/1_r0000_c0384_orig.png,384,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0384_fliph.png,data/processed/patches/rgb/1_r0000_c0384_fliph.png,384,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0384_flipv.png,data/processed/patches/rgb/1_r0000_c0384_flipv.png,384,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0384_rot90.png,data/processed/patches/rgb/1_r0000_c0384_rot90.png,384,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0384_rot180.png,data/processed/patches/rgb/1_r0000_c0384_rot180.png,384,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0384_rot270.png,data/processed/patches/rgb/1_r0000_c0384_rot270.png,384,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0512_orig.png,data/processed/patches/rgb/1_r0000_c0512_orig.png,512,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0512_fliph.png,data/processed/patches/rgb/1_r0000_c0512_fliph.png,512,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0512_flipv.png,data/processed/patches/rgb/1_r0000_c0512_flipv.png,512,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0512_rot90.png,data/processed/patches/rgb/1_r0000_c0512_rot90.png,512,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0512_rot180.png,data/processed/patches/rgb/1_r0000_c0512_rot180.png,512,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0512_rot270.png,data/processed/patches/rgb/1_r0000_c0512_rot270.png,512,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0640_orig.png,data/processed/patches/rgb/1_r0000_c0640_orig.png,640,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0640_fliph.png,data/processed/patches/rgb/1_r0000_c0640_fliph.png,640,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0640_flipv.png,data/processed/patches/rgb/1_r0000_c0640_flipv.png,640,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0640_rot90.png,data/processed/patches/rgb/1_r0000_c0640_rot90.png,640,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0640_rot180.png,data/processed/patches/rgb/1_r0000_c0640_rot180.png,640,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0640_rot270.png,data/processed/patches/rgb/1_r0000_c0640_rot270.png,640,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0768_orig.png,data/processed/patches/rgb/1_r0000_c0768_orig.png,768,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0768_fliph.png,data/processed/patches/rgb/1_r0000_c0768_fliph.png,768,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0768_flipv.png,data/processed/patches/rgb/1_r0000_c0768_flipv.png,768,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0768_rot90.png,data/processed/patches/rgb/1_r0000_c0768_rot90.png,768,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0768_rot180.png,data/processed/patches/rgb/1_r0000_c0768_rot180.png,768,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0768_rot270.png,data/processed/patches/rgb/1_r0000_c0768_rot270.png,768,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0896_orig.png,data/processed/patches/rgb/1_r0000_c0896_orig.png,896,0,256
1,sih1733,train,data/processed/patches/sar/1_r0000_c0896_fliph.png,data/processed/patches/rgb/1_r0000_c0896_fliph.png,896,0,256
